Loading image features from img_features/ResNet-152-imagenet.tsv
Loading navigation graphs for 61 scans
R2RBatch loaded with 14039 instructions, using splits: train
Loading image features from img_features/ResNet-152-imagenet.tsv
Loading navigation graphs for 56 scans
R2RBatch loaded with 1021 instructions, using splits: val_seen
Loading image features from img_features/ResNet-152-imagenet.tsv
Loading navigation graphs for 11 scans
R2RBatch loaded with 2349 instructions, using splits: val_unseen
/home/intern/miniconda3/envs/r2r_v2/lib/python3.6/site-packages/torch/nn/modules/rnn.py:46: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  "num_layers={}".format(dropout, num_layers))
Training with sample feedback
35m 37s (- 156m 57s) (3700 18%) train loss: 0.8438, val_seen loss: 0.8880, success_rate: 0.209, val_unseen loss: 0.9472, success_rate: 0.144
36m 35s (- 155m 58s) (3800 19%) train loss: 0.8404, val_seen loss: 0.8833, success_rate: 0.213, val_unseen loss: 0.9669, success_rate: 0.143
37m 30s (- 154m 50s) (3900 19%) train loss: 0.8480, val_seen loss: 0.8713, success_rate: 0.205, val_unseen loss: 0.9503, success_rate: 0.140
38m 25s (- 153m 42s) (4000 20%) train loss: 0.8427, val_seen loss: 0.8878, success_rate: 0.203, val_unseen loss: 0.9442, success_rate: 0.140
39m 22s (- 152m 40s) (4100 20%) train loss: 0.8419, val_seen loss: 0.8777, success_rate: 0.224, val_unseen loss: 0.9484, success_rate: 0.157
40m 19s (- 151m 42s) (4200 21%) train loss: 0.8372, val_seen loss: 0.8735, success_rate: 0.221, val_unseen loss: 0.9552, success_rate: 0.127
41m 16s (- 150m 42s) (4300 21%) train loss: 0.8315, val_seen loss: 0.8660, success_rate: 0.233, val_unseen loss: 0.9292, success_rate: 0.158
42m 13s (- 149m 41s) (4400 22%) train loss: 0.8365, val_seen loss: 0.8977, success_rate: 0.251, val_unseen loss: 0.9594, success_rate: 0.159
43m 13s (- 148m 51s) (4500 22%) train loss: 0.8344, val_seen loss: 0.8792, success_rate: 0.257, val_unseen loss: 0.9696, success_rate: 0.163
44m 11s (- 147m 57s) (4600 23%) train loss: 0.8319, val_seen loss: 0.8737, success_rate: 0.251, val_unseen loss: 0.9633, success_rate: 0.169
45m 7s (- 146m 53s) (4700 23%) train loss: 0.8336, val_seen loss: 0.9105, success_rate: 0.222, val_unseen loss: 0.9812, success_rate: 0.129
46m 1s (- 145m 46s) (4800 24%) train loss: 0.8266, val_seen loss: 0.8801, success_rate: 0.230, val_unseen loss: 0.9632, success_rate: 0.145
46m 55s (- 144m 37s) (4900 24%) train loss: 0.8287, val_seen loss: 0.8593, success_rate: 0.262, val_unseen loss: 0.9581, success_rate: 0.168
47m 54s (- 143m 42s) (5000 25%) train loss: 0.8264, val_seen loss: 0.8730, success_rate: 0.259, val_unseen loss: 0.9600, success_rate: 0.175
48m 52s (- 142m 46s) (5100 25%) train loss: 0.8254, val_seen loss: 0.8764, success_rate: 0.262, val_unseen loss: 0.9627, success_rate: 0.150
49m 48s (- 141m 45s) (5200 26%) train loss: 0.8259, val_seen loss: 0.8633, success_rate: 0.275, val_unseen loss: 0.9697, success_rate: 0.176
50m 43s (- 140m 40s) (5300 26%) train loss: 0.8206, val_seen loss: 0.8756, success_rate: 0.267, val_unseen loss: 0.9701, success_rate: 0.175
51m 38s (- 139m 36s) (5400 27%) train loss: 0.8210, val_seen loss: 0.8726, success_rate: 0.257, val_unseen loss: 0.9700, success_rate: 0.172
52m 35s (- 138m 38s) (5500 27%) train loss: 0.8199, val_seen loss: 0.8894, success_rate: 0.256, val_unseen loss: 0.9913, success_rate: 0.155
53m 30s (- 137m 34s) (5600 28%) train loss: 0.8176, val_seen loss: 0.8745, success_rate: 0.278, val_unseen loss: 0.9696, success_rate: 0.180
54m 23s (- 136m 28s) (5700 28%) train loss: 0.8120, val_seen loss: 0.8665, success_rate: 0.279, val_unseen loss: 0.9629, success_rate: 0.174
55m 18s (- 135m 24s) (5800 28%) train loss: 0.8129, val_seen loss: 0.8642, success_rate: 0.266, val_unseen loss: 0.9802, success_rate: 0.147
56m 13s (- 134m 23s) (5900 29%) train loss: 0.8128, val_seen loss: 0.8687, success_rate: 0.286, val_unseen loss: 0.9725, success_rate: 0.179
57m 9s (- 133m 21s) (6000 30%) train loss: 0.8095, val_seen loss: 0.8625, success_rate: 0.298, val_unseen loss: 0.9683, success_rate: 0.171
58m 7s (- 132m 26s) (6100 30%) train loss: 0.8150, val_seen loss: 0.8753, success_rate: 0.285, val_unseen loss: 0.9823, success_rate: 0.178
59m 5s (- 131m 30s) (6200 31%) train loss: 0.8102, val_seen loss: 0.8624, success_rate: 0.272, val_unseen loss: 0.9552, success_rate: 0.171
60m 3s (- 130m 35s) (6300 31%) train loss: 0.8036, val_seen loss: 0.8702, success_rate: 0.283, val_unseen loss: 0.9852, success_rate: 0.190
60m 57s (- 129m 31s) (6400 32%) train loss: 0.8063, val_seen loss: 0.8847, success_rate: 0.286, val_unseen loss: 0.9938, success_rate: 0.185
61m 52s (- 128m 29s) (6500 32%) train loss: 0.8028, val_seen loss: 0.8803, success_rate: 0.288, val_unseen loss: 0.9722, success_rate: 0.173
62m 47s (- 127m 28s) (6600 33%) train loss: 0.8024, val_seen loss: 0.8639, success_rate: 0.317, val_unseen loss: 0.9820, success_rate: 0.188
63m 41s (- 126m 25s) (6700 33%) train loss: 0.8039, val_seen loss: 0.8755, success_rate: 0.295, val_unseen loss: 0.9850, success_rate: 0.188
64m 35s (- 125m 22s) (6800 34%) train loss: 0.8008, val_seen loss: 0.8731, success_rate: 0.306, val_unseen loss: 0.9821, success_rate: 0.169
65m 30s (- 124m 21s) (6900 34%) train loss: 0.7998, val_seen loss: 0.8934, success_rate: 0.307, val_unseen loss: 1.0060, success_rate: 0.176
66m 26s (- 123m 23s) (7000 35%) train loss: 0.7984, val_seen loss: 0.8884, success_rate: 0.295, val_unseen loss: 0.9909, success_rate: 0.189
67m 21s (- 122m 22s) (7100 35%) train loss: 0.7958, val_seen loss: 0.8802, success_rate: 0.312, val_unseen loss: 0.9942, success_rate: 0.183
68m 16s (- 121m 23s) (7200 36%) train loss: 0.7937, val_seen loss: 0.8770, success_rate: 0.297, val_unseen loss: 0.9968, success_rate: 0.189
69m 11s (- 120m 23s) (7300 36%) train loss: 0.7919, val_seen loss: 0.8794, success_rate: 0.301, val_unseen loss: 1.0034, success_rate: 0.198
70m 4s (- 119m 19s) (7400 37%) train loss: 0.7905, val_seen loss: 0.8783, success_rate: 0.327, val_unseen loss: 1.0087, success_rate: 0.193
70m 58s (- 118m 17s) (7500 37%) train loss: 0.7899, val_seen loss: 0.8706, success_rate: 0.313, val_unseen loss: 0.9967, success_rate: 0.176
