Training on train env ...
Epoch: [1][75/200]	Time 10.175 (10.659)	Loss 10.5523 (15.1465)	
Epoch: [1][76/200]	Time 10.301 (10.654)	Loss 9.1019 (15.0670)	
Epoch: [1][77/200]	Time 10.614 (10.653)	Loss 10.2814 (15.0048)	
Epoch: [1][78/200]	Time 10.634 (10.653)	Loss 9.9410 (14.9399)	
Epoch: [1][79/200]	Time 10.336 (10.649)	Loss 10.7982 (14.8875)	
Epoch: [1][80/200]	Time 10.230 (10.644)	Loss 10.6072 (14.8340)	
Epoch: [1][81/200]	Time 11.072 (10.649)	Loss 11.2865 (14.7902)	
Epoch: [1][82/200]	Time 10.448 (10.647)	Loss 10.1421 (14.7335)	
Epoch: [1][83/200]	Time 11.037 (10.651)	Loss 9.3332 (14.6685)	
Epoch: [1][84/200]	Time 10.404 (10.649)	Loss 10.2658 (14.6160)	
Epoch: [1][85/200]	Time 10.438 (10.646)	Loss 9.3434 (14.5540)	
Epoch: [1][86/200]	Time 9.901 (10.637)	Loss 9.0372 (14.4899)	
Epoch: [1][87/200]	Time 10.170 (10.632)	Loss 8.9785 (14.4265)	
Epoch: [1][88/200]	Time 10.212 (10.627)	Loss 11.4922 (14.3932)	
Epoch: [1][89/200]	Time 9.902 (10.619)	Loss 10.5511 (14.3500)	
Epoch: [1][90/200]	Time 10.456 (10.617)	Loss 10.0247 (14.3019)	
Epoch: [1][91/200]	Time 10.092 (10.611)	Loss 9.3341 (14.2473)	
Epoch: [1][92/200]	Time 10.698 (10.612)	Loss 8.2902 (14.1826)	
Epoch: [1][93/200]	Time 10.695 (10.613)	Loss 10.6883 (14.1450)	
Epoch: [1][94/200]	Time 10.530 (10.612)	Loss 9.7361 (14.0981)	
Epoch: [1][95/200]	Time 10.707 (10.613)	Loss 10.1865 (14.0569)	
Epoch: [1][96/200]	Time 11.471 (10.622)	Loss 10.7256 (14.0222)	
Epoch: [1][97/200]	Time 10.485 (10.621)	Loss 9.2018 (13.9725)	
Epoch: [1][98/200]	Time 10.590 (10.621)	Loss 10.5697 (13.9378)	
Epoch: [1][99/200]	Time 10.681 (10.621)	Loss 10.0860 (13.8989)	
Epoch: [1][100/200]	Time 10.720 (10.622)	Loss 10.6200 (13.8661)	
Epoch: [1][101/200]	Time 10.811 (10.624)	Loss 9.1089 (13.8190)	
Epoch: [1][102/200]	Time 10.314 (10.621)	Loss 9.0540 (13.7723)	
Epoch: [1][103/200]	Time 10.369 (10.619)	Loss 10.6405 (13.7419)	
Epoch: [1][104/200]	Time 10.252 (10.615)	Loss 9.3248 (13.6994)	
Epoch: [1][105/200]	Time 10.476 (10.614)	Loss 9.1828 (13.6564)	
Epoch: [1][106/200]	Time 11.371 (10.621)	Loss 7.4906 (13.5982)	
Epoch: [1][107/200]	Time 10.334 (10.618)	Loss 11.5009 (13.5786)	
Epoch: [1][108/200]	Time 10.309 (10.615)	Loss 10.2064 (13.5474)	
Epoch: [1][109/200]	Time 10.151 (10.611)	Loss 9.6321 (13.5115)	
Epoch: [1][110/200]	Time 9.910 (10.605)	Loss 10.3837 (13.4831)	
Epoch: [1][111/200]	Time 10.096 (10.600)	Loss 12.1499 (13.4711)	
Epoch: [1][112/200]	Time 10.009 (10.595)	Loss 9.3889 (13.4346)	
Epoch: [1][113/200]	Time 9.761 (10.587)	Loss 10.8349 (13.4116)	
Epoch: [1][114/200]	Time 10.151 (10.584)	Loss 10.5462 (13.3865)	
Epoch: [1][115/200]	Time 10.635 (10.584)	Loss 8.4416 (13.3435)	
Epoch: [1][116/200]	Time 10.239 (10.581)	Loss 9.3671 (13.3092)	
Epoch: [1][117/200]	Time 10.386 (10.579)	Loss 11.2019 (13.2912)	
Epoch: [1][118/200]	Time 10.499 (10.579)	Loss 9.8612 (13.2621)	
Epoch: [1][119/200]	Time 10.316 (10.577)	Loss 8.1694 (13.2193)	
Epoch: [1][120/200]	Time 9.994 (10.572)	Loss 8.9483 (13.1837)	
Epoch: [1][121/200]	Time 10.430 (10.571)	Loss 11.8900 (13.1730)	
Epoch: [1][122/200]	Time 11.229 (10.576)	Loss 9.6403 (13.1441)	
Epoch: [1][123/200]	Time 10.797 (10.578)	Loss 10.2945 (13.1209)	
Epoch: [1][124/200]	Time 11.135 (10.582)	Loss 9.8552 (13.0946)	
Epoch: [1][125/200]	Time 11.814 (10.592)	Loss 10.5755 (13.0744)	
Epoch: [1][126/200]	Time 11.034 (10.596)	Loss 9.6946 (13.0476)	
Epoch: [1][127/200]	Time 11.409 (10.602)	Loss 9.2879 (13.0180)	
Epoch: [1][128/200]	Time 13.593 (10.625)	Loss 10.8687 (13.0012)	
