Loading image features from img_features/ResNet-152-imagenet.tsv
Loading navigation graphs for 61 scans
R2RBatch loaded with 14039 instructions, using splits: train
Loading image features from img_features/ResNet-152-imagenet.tsv
Loading navigation graphs for 56 scans
R2RBatch loaded with 1021 instructions, using splits: val_seen
Loading image features from img_features/ResNet-152-imagenet.tsv
Loading navigation graphs for 11 scans
R2RBatch loaded with 2349 instructions, using splits: val_unseen
/home/intern/miniconda3/envs/r2r_v2/lib/python3.6/site-packages/torch/nn/modules/rnn.py:46: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  "num_layers={}".format(dropout, num_layers))
Training with sample feedback
1m 8s (- 225m 37s) (100 0%) train loss: 1.1608, val_seen loss: 0.9586, success_rate: 0.017, val_unseen loss: 0.9511, success_rate: 0.015
2m 12s (- 217m 51s) (200 1%) train loss: 0.9440, val_seen loss: 0.9455, success_rate: 0.013, val_unseen loss: 0.9476, success_rate: 0.011
3m 14s (- 212m 36s) (300 1%) train loss: 0.9379, val_seen loss: 0.9449, success_rate: 0.011, val_unseen loss: 0.9271, success_rate: 0.014
4m 20s (- 213m 8s) (400 2%) train loss: 0.9294, val_seen loss: 0.9216, success_rate: 0.075, val_unseen loss: 0.9192, success_rate: 0.058
5m 24s (- 210m 39s) (500 2%) train loss: 0.9225, val_seen loss: 0.9059, success_rate: 0.086, val_unseen loss: 0.9288, success_rate: 0.065
6m 24s (- 207m 25s) (600 3%) train loss: 0.9181, val_seen loss: 0.9213, success_rate: 0.088, val_unseen loss: 0.9184, success_rate: 0.068
7m 27s (- 205m 34s) (700 3%) train loss: 0.9152, val_seen loss: 0.9174, success_rate: 0.101, val_unseen loss: 0.9242, success_rate: 0.097
8m 26s (- 202m 43s) (800 4%) train loss: 0.9108, val_seen loss: 0.9124, success_rate: 0.119, val_unseen loss: 0.9168, success_rate: 0.112
9m 27s (- 200m 45s) (900 4%) train loss: 0.9124, val_seen loss: 0.9046, success_rate: 0.116, val_unseen loss: 0.9196, success_rate: 0.121
10m 29s (- 199m 14s) (1000 5%) train loss: 0.9071, val_seen loss: 0.9120, success_rate: 0.117, val_unseen loss: 0.9216, success_rate: 0.092
11m 30s (- 197m 42s) (1100 5%) train loss: 0.8991, val_seen loss: 0.9104, success_rate: 0.117, val_unseen loss: 0.9323, success_rate: 0.080
12m 32s (- 196m 34s) (1200 6%) train loss: 0.8995, val_seen loss: 0.9150, success_rate: 0.122, val_unseen loss: 0.9280, success_rate: 0.093
13m 31s (- 194m 30s) (1300 6%) train loss: 0.8953, val_seen loss: 0.9085, success_rate: 0.135, val_unseen loss: 0.9225, success_rate: 0.103
14m 32s (- 193m 18s) (1400 7%) train loss: 0.8928, val_seen loss: 0.9058, success_rate: 0.098, val_unseen loss: 0.9273, success_rate: 0.076
15m 33s (- 191m 57s) (1500 7%) train loss: 0.8948, val_seen loss: 0.8841, success_rate: 0.135, val_unseen loss: 0.9106, success_rate: 0.095
16m 33s (- 190m 24s) (1600 8%) train loss: 0.8856, val_seen loss: 0.9032, success_rate: 0.126, val_unseen loss: 0.9282, success_rate: 0.096
17m 31s (- 188m 37s) (1700 8%) train loss: 0.8825, val_seen loss: 0.8996, success_rate: 0.137, val_unseen loss: 0.9300, success_rate: 0.111
18m 33s (- 187m 36s) (1800 9%) train loss: 0.8855, val_seen loss: 0.8893, success_rate: 0.143, val_unseen loss: 0.9313, success_rate: 0.112
19m 35s (- 186m 36s) (1900 9%) train loss: 0.8822, val_seen loss: 0.8887, success_rate: 0.144, val_unseen loss: 0.9184, success_rate: 0.109
20m 32s (- 184m 55s) (2000 10%) train loss: 0.8751, val_seen loss: 0.8974, success_rate: 0.144, val_unseen loss: 0.9296, success_rate: 0.091
21m 37s (- 184m 18s) (2100 10%) train loss: 0.8760, val_seen loss: 0.8830, success_rate: 0.172, val_unseen loss: 0.9195, success_rate: 0.106
22m 34s (- 182m 36s) (2200 11%) train loss: 0.8762, val_seen loss: 0.8883, success_rate: 0.164, val_unseen loss: 0.9361, success_rate: 0.108
23m 31s (- 181m 4s) (2300 11%) train loss: 0.8711, val_seen loss: 0.9031, success_rate: 0.155, val_unseen loss: 0.9320, success_rate: 0.108
24m 31s (- 179m 53s) (2400 12%) train loss: 0.8710, val_seen loss: 0.8877, success_rate: 0.160, val_unseen loss: 0.9256, success_rate: 0.105
25m 32s (- 178m 47s) (2500 12%) train loss: 0.8665, val_seen loss: 0.9040, success_rate: 0.144, val_unseen loss: 0.9404, success_rate: 0.092
26m 32s (- 177m 35s) (2600 13%) train loss: 0.8640, val_seen loss: 0.8877, success_rate: 0.140, val_unseen loss: 0.9334, success_rate: 0.101
27m 29s (- 176m 7s) (2700 13%) train loss: 0.8625, val_seen loss: 0.8599, success_rate: 0.188, val_unseen loss: 0.9314, success_rate: 0.132
28m 25s (- 174m 36s) (2800 14%) train loss: 0.8654, val_seen loss: 0.8785, success_rate: 0.176, val_unseen loss: 0.9301, success_rate: 0.112
29m 22s (- 173m 11s) (2900 14%) train loss: 0.8646, val_seen loss: 0.8768, success_rate: 0.170, val_unseen loss: 0.9408, success_rate: 0.112
30m 21s (- 172m 2s) (3000 15%) train loss: 0.8568, val_seen loss: 0.8953, success_rate: 0.173, val_unseen loss: 0.9412, success_rate: 0.121
31m 23s (- 171m 5s) (3100 15%) train loss: 0.8503, val_seen loss: 0.8787, success_rate: 0.164, val_unseen loss: 0.9405, success_rate: 0.115
32m 24s (- 170m 10s) (3200 16%) train loss: 0.8531, val_seen loss: 0.8799, success_rate: 0.211, val_unseen loss: 0.9403, success_rate: 0.130
33m 23s (- 169m 0s) (3300 16%) train loss: 0.8546, val_seen loss: 0.8686, success_rate: 0.212, val_unseen loss: 0.9320, success_rate: 0.121
34m 23s (- 167m 55s) (3400 17%) train loss: 0.8543, val_seen loss: 0.8931, success_rate: 0.186, val_unseen loss: 0.9471, success_rate: 0.138
35m 24s (- 166m 56s) (3500 17%) train loss: 0.8507, val_seen loss: 0.8744, success_rate: 0.205, val_unseen loss: 0.9414, success_rate: 0.130
36m 24s (- 165m 51s) (3600 18%) train loss: 0.8450, val_seen loss: 0.8750, success_rate: 0.216, val_unseen loss: 0.9332, success_rate: 0.132
37m 20s (- 164m 32s) (3700 18%) train loss: 0.8438, val_seen loss: 0.8880, success_rate: 0.209, val_unseen loss: 0.9472, success_rate: 0.144
38m 18s (- 163m 18s) (3800 19%) train loss: 0.8404, val_seen loss: 0.8833, success_rate: 0.213, val_unseen loss: 0.9669, success_rate: 0.143
39m 14s (- 161m 58s) (3900 19%) train loss: 0.8480, val_seen loss: 0.8713, success_rate: 0.205, val_unseen loss: 0.9503, success_rate: 0.140
40m 9s (- 160m 38s) (4000 20%) train loss: 0.8427, val_seen loss: 0.8878, success_rate: 0.203, val_unseen loss: 0.9442, success_rate: 0.140
41m 6s (- 159m 26s) (4100 20%) train loss: 0.8419, val_seen loss: 0.8777, success_rate: 0.224, val_unseen loss: 0.9484, success_rate: 0.157
42m 2s (- 158m 11s) (4200 21%) train loss: 0.8372, val_seen loss: 0.8735, success_rate: 0.221, val_unseen loss: 0.9552, success_rate: 0.127
43m 4s (- 157m 17s) (4300 21%) train loss: 0.8315, val_seen loss: 0.8660, success_rate: 0.233, val_unseen loss: 0.9292, success_rate: 0.158
44m 9s (- 156m 34s) (4400 22%) train loss: 0.8365, val_seen loss: 0.8977, success_rate: 0.251, val_unseen loss: 0.9594, success_rate: 0.159
45m 7s (- 155m 27s) (4500 22%) train loss: 0.8344, val_seen loss: 0.8792, success_rate: 0.257, val_unseen loss: 0.9696, success_rate: 0.163
46m 3s (- 154m 11s) (4600 23%) train loss: 0.8319, val_seen loss: 0.8737, success_rate: 0.251, val_unseen loss: 0.9633, success_rate: 0.169
