Evaluating on val_seen env ...
Epoch: [0][75/256]	Time 1.728 (1.376)	Loss 9.1727 (7.7792)	
Epoch: [0][76/256]	Time 1.008 (1.371)	Loss 4.4292 (7.7351)	
Epoch: [0][77/256]	Time 1.189 (1.368)	Loss 5.8811 (7.7111)	
Epoch: [0][78/256]	Time 1.555 (1.371)	Loss 8.8355 (7.7255)	
Epoch: [0][79/256]	Time 1.517 (1.373)	Loss 9.6305 (7.7496)	
Epoch: [0][80/256]	Time 1.628 (1.376)	Loss 9.0039 (7.7653)	
Epoch: [0][81/256]	Time 1.510 (1.377)	Loss 9.6907 (7.7890)	
Epoch: [0][82/256]	Time 1.204 (1.375)	Loss 8.2611 (7.7948)	
Epoch: [0][83/256]	Time 0.680 (1.367)	Loss 3.9470 (7.7484)	
Epoch: [0][84/256]	Time 0.588 (1.358)	Loss 3.0335 (7.6923)	
Epoch: [0][85/256]	Time 1.532 (1.360)	Loss 11.6722 (7.7391)	
Epoch: [0][86/256]	Time 1.588 (1.362)	Loss 7.5541 (7.7370)	
Epoch: [0][87/256]	Time 0.345 (1.351)	Loss 2.2495 (7.6739)	
Epoch: [0][88/256]	Time 1.658 (1.354)	Loss 8.6803 (7.6853)	
Epoch: [0][89/256]	Time 1.314 (1.354)	Loss 8.9212 (7.6992)	
Epoch: [0][90/256]	Time 1.610 (1.357)	Loss 10.0646 (7.7255)	
Epoch: [0][91/256]	Time 0.617 (1.348)	Loss 2.7785 (7.6711)	
Epoch: [0][92/256]	Time 1.539 (1.351)	Loss 10.4012 (7.7008)	
Epoch: [0][93/256]	Time 1.324 (1.350)	Loss 10.2755 (7.7285)	
Epoch: [0][94/256]	Time 0.782 (1.344)	Loss 4.9178 (7.6986)	
Epoch: [0][95/256]	Time 1.111 (1.342)	Loss 5.4742 (7.6752)	
Epoch: [0][96/256]	Time 1.575 (1.344)	Loss 9.3670 (7.6928)	
Epoch: [0][97/256]	Time 1.545 (1.346)	Loss 8.6322 (7.7025)	
Epoch: [0][98/256]	Time 1.581 (1.349)	Loss 11.8832 (7.7451)	
Epoch: [0][99/256]	Time 1.526 (1.350)	Loss 9.4635 (7.7625)	
Epoch: [0][100/256]	Time 1.265 (1.350)	Loss 6.8414 (7.7533)	
Epoch: [0][101/256]	Time 1.618 (1.352)	Loss 15.6194 (7.8312)	
Epoch: [0][102/256]	Time 0.685 (1.346)	Loss 3.4987 (7.7887)	
Epoch: [0][103/256]	Time 1.538 (1.348)	Loss 11.0183 (7.8201)	
Epoch: [0][104/256]	Time 1.466 (1.349)	Loss 9.3468 (7.8347)	
Epoch: [0][105/256]	Time 0.692 (1.342)	Loss 3.9284 (7.7975)	
Epoch: [0][106/256]	Time 1.008 (1.339)	Loss 6.2251 (7.7827)	
Epoch: [0][107/256]	Time 1.473 (1.341)	Loss 8.6882 (7.7912)	
